window_start,window_end,n,n_pos,pr_auc,method
4000,4500,500,23,0.497854743829392,static_xgb
4500,5000,500,29,0.45983012145427815,static_xgb
5000,5500,500,16,0.5104112945882293,static_xgb
5500,6000,500,22,0.4695701114024001,static_xgb
6000,6500,500,30,0.551197951297217,static_xgb
6500,7000,500,18,0.446200222559902,static_xgb
7000,7500,500,23,0.4281484739986317,static_xgb
7500,8000,500,35,0.5261957511018401,static_xgb
8000,8500,500,32,0.12722958982024354,static_xgb
8500,9000,500,24,0.04929835245841152,static_xgb
9000,9500,500,27,0.04052979136082307,static_xgb
9500,10000,500,17,0.024283232022516626,static_xgb
10000,10500,500,25,0.0329122094922909,static_xgb
10500,11000,500,23,0.33797857936172515,static_xgb
11000,11500,500,33,0.5713222034735961,static_xgb
11500,12000,500,25,0.45033223949470264,static_xgb
12000,12500,500,35,0.5862655437725653,static_xgb
12500,13000,500,26,0.572674967267294,static_xgb
13000,13500,500,25,0.6089581498468233,static_xgb
13500,14000,500,21,0.1317815151557661,static_xgb
14000,14500,500,28,0.04084356577440936,static_xgb
14500,15000,500,24,0.5118252253397283,static_xgb
15000,15500,500,25,0.4781496781251569,static_xgb
15500,16000,500,23,0.5289648120905184,static_xgb
16000,16500,500,27,0.3867079217726045,static_xgb
16500,17000,500,19,0.37663880809565903,static_xgb
17000,17500,500,27,0.3544210310821764,static_xgb
17500,18000,500,36,0.6106848769058253,static_xgb
18000,18500,500,25,0.5725765178868651,static_xgb
18500,19000,500,25,0.40323854526761665,static_xgb
19000,19500,500,24,0.5137015346121132,static_xgb
19500,20000,500,21,0.20336439644447818,static_xgb
4000,4500,500,23,0.497854743829392,periodic_retrain
4500,5000,500,29,0.45983012145427815,periodic_retrain
5000,5500,500,16,0.681210539844902,periodic_retrain
5500,6000,500,22,0.5172876515249379,periodic_retrain
6000,6500,500,30,0.645626322533865,periodic_retrain
6500,7000,500,18,0.4645374195976061,periodic_retrain
7000,7500,500,23,0.44993822434242686,periodic_retrain
7500,8000,500,35,0.5261491010532469,periodic_retrain
8000,8500,500,32,0.10106457488593712,periodic_retrain
8500,9000,500,24,0.04282043563638352,periodic_retrain
9000,9500,500,27,0.073179272224563,periodic_retrain
9500,10000,500,17,0.05646651282238681,periodic_retrain
10000,10500,500,25,0.10194196023803523,periodic_retrain
10500,11000,500,23,0.5230193592559671,periodic_retrain
11000,11500,500,33,0.6431458700637718,periodic_retrain
11500,12000,500,25,0.5538573337272327,periodic_retrain
12000,12500,500,35,0.3470878929331771,periodic_retrain
12500,13000,500,26,0.3129034465819572,periodic_retrain
13000,13500,500,25,0.45590693307257774,periodic_retrain
13500,14000,500,21,0.19281273104451,periodic_retrain
14000,14500,500,28,0.1937217492017399,periodic_retrain
14500,15000,500,24,0.5571569813090833,periodic_retrain
15000,15500,500,25,0.36477609480645495,periodic_retrain
15500,16000,500,23,0.3897987644675057,periodic_retrain
16000,16500,500,27,0.39345946507110413,periodic_retrain
16500,17000,500,19,0.36867358718425924,periodic_retrain
17000,17500,500,27,0.3749876539344163,periodic_retrain
17500,18000,500,36,0.6471171473233901,periodic_retrain
18000,18500,500,25,0.4832539190357039,periodic_retrain
18500,19000,500,25,0.4055966744681343,periodic_retrain
19000,19500,500,24,0.5386972756621611,periodic_retrain
19500,20000,500,21,0.3761388104229596,periodic_retrain
4000,4500,500,23,0.5667730124800272,single_expert
4500,5000,500,29,0.4775144306805287,single_expert
5000,5500,500,16,0.5524007378060715,single_expert
5500,6000,500,22,0.47759218509690365,single_expert
6000,6500,500,30,0.5466516052763546,single_expert
6500,7000,500,18,0.4283377423457837,single_expert
7000,7500,500,23,0.423345186584283,single_expert
7500,8000,500,35,0.518939055022439,single_expert
8000,8500,500,32,0.10784260276032132,single_expert
8500,9000,500,24,0.05065982947747031,single_expert
9000,9500,500,27,0.038561002759948865,single_expert
9500,10000,500,17,0.0244911000745727,single_expert
10000,10500,500,25,0.03239057602552313,single_expert
10500,11000,500,23,0.32757449130778293,single_expert
11000,11500,500,33,0.6296934173861587,single_expert
11500,12000,500,25,0.4538058987302531,single_expert
12000,12500,500,35,0.6134921393772163,single_expert
12500,13000,500,26,0.5406915234312972,single_expert
13000,13500,500,25,0.5649406123582718,single_expert
13500,14000,500,21,0.13443660137109292,single_expert
14000,14500,500,28,0.04019565109211978,single_expert
14500,15000,500,24,0.5236120697930583,single_expert
15000,15500,500,25,0.4734910956758838,single_expert
15500,16000,500,23,0.5129194163034817,single_expert
16000,16500,500,27,0.3890788109889515,single_expert
16500,17000,500,19,0.39062439659215575,single_expert
17000,17500,500,27,0.3851367835604038,single_expert
17500,18000,500,36,0.6157366524040855,single_expert
18000,18500,500,25,0.5295779885085615,single_expert
18500,19000,500,25,0.405722959164191,single_expert
19000,19500,500,24,0.5616831373973381,single_expert
19500,20000,500,21,0.19410962605877038,single_expert
