candidate_id,birth_time,decided_at,mean_loss_with_candidate,mean_loss_without_candidate,outcome
1,28480,48480,0.004052133914466197,0.0032241209870005685,discarded
2,48480,68480,0.004458140763818495,0.005145276244724718,promoted
3,68480,88480,0.0019229238850930874,0.00203410046448153,promoted
4,88480,108480,0.005118843232690799,0.00551650355423011,promoted
5,108480,128480,0.005627533060202357,0.0035796812074980863,discarded
6,128480,148480,0.008290383429925984,0.002947764047562936,discarded
7,148480,168480,0.0035164715416169945,0.0035894222581696156,promoted
8,168480,188480,0.002748846036958059,0.0021278206471812082,discarded
9,188480,208480,0.0021185896978979835,0.002411910054030349,promoted
10,213480,233480,0.0038530071675787086,0.003153337953444904,discarded
11,233480,253480,0.003726286053468682,0.0039383633207871645,promoted
12,253480,273480,0.002394219471981591,0.002462180548055176,promoted
