window_start,window_end,n,n_pos,pr_auc,method
28480,33480,5000,10,0.9022222222222223,static_xgb
33480,38480,5000,0,,static_xgb
38480,43480,5000,30,0.9470995468041882,static_xgb
43480,48480,5000,15,0.9913888888888889,static_xgb
48480,53480,5000,5,0.601130151842952,static_xgb
53480,58480,5000,8,0.5056036766811248,static_xgb
58480,63480,5000,4,0.6889084507042254,static_xgb
63480,68480,5000,6,0.7866995073891625,static_xgb
68480,73480,5000,7,0.7151106898671787,static_xgb
73480,78480,5000,13,0.9307105108631827,static_xgb
78480,83480,5000,12,0.9169739807416513,static_xgb
83480,88480,5000,5,1.0,static_xgb
88480,93480,5000,6,0.7384920634920634,static_xgb
93480,98480,5000,8,0.6869396656901657,static_xgb
98480,103480,5000,10,0.7010090821326215,static_xgb
103480,108480,5000,6,0.7916314454775993,static_xgb
108480,113480,5000,3,0.6682953311617806,static_xgb
113480,118480,5000,4,0.479387417218543,static_xgb
118480,123480,5000,10,0.6862378239584122,static_xgb
123480,128480,5000,6,0.6755709456674087,static_xgb
128480,133480,5000,1,0.002036659877800407,static_xgb
133480,138480,5000,2,1.0,static_xgb
138480,143480,5000,12,0.9176384839650146,static_xgb
143480,148480,5000,9,0.6174893765777919,static_xgb
148480,153480,5000,45,0.7706521822338266,static_xgb
153480,158480,5000,26,0.7667568285359788,static_xgb
158480,163480,5000,1,0.5,static_xgb
163480,168480,5000,3,0.8055555555555556,static_xgb
168480,173480,5000,1,0.25,static_xgb
173480,178480,5000,3,0.6671727395411605,static_xgb
178480,183480,5000,3,0.9166666666666665,static_xgb
183480,188480,5000,1,0.25,static_xgb
188480,193480,5000,13,0.6645249627219416,static_xgb
193480,198480,5000,2,0.03441558441558441,static_xgb
198480,203480,5000,6,0.888888888888889,static_xgb
203480,208480,5000,4,0.6044984516699845,static_xgb
208480,213480,5000,5,0.804950495049505,static_xgb
213480,218480,5000,6,0.834975369458128,static_xgb
218480,223480,5000,8,0.5783291232904675,static_xgb
223480,228480,5000,5,0.8761904761904762,static_xgb
228480,233480,5000,6,0.7857142857142857,static_xgb
233480,238480,5000,12,0.885846560846561,static_xgb
238480,243480,5000,6,0.7875,static_xgb
243480,248480,5000,11,0.8458674273703175,static_xgb
248480,253480,5000,14,0.8473611111111111,static_xgb
253480,258480,5000,5,0.6082465249782307,static_xgb
258480,263480,5000,8,0.8307123156889785,static_xgb
263480,268480,5000,2,0.2111111111111111,static_xgb
268480,273480,5000,1,0.011111111111111112,static_xgb
273480,278480,5000,5,0.16363505422643798,static_xgb
278480,283480,5000,5,0.8003214400514305,static_xgb
283480,284807,1327,0,,static_xgb
28480,33480,5000,10,0.9022222222222223,periodic_retrain
33480,38480,5000,0,,periodic_retrain
38480,43480,5000,30,0.9474474502096677,periodic_retrain
43480,48480,5000,15,0.981498778998779,periodic_retrain
48480,53480,5000,5,0.6012094504316923,periodic_retrain
53480,58480,5000,8,0.5044437222883843,periodic_retrain
58480,63480,5000,4,0.7640845070422535,periodic_retrain
63480,68480,5000,6,0.7307981927710844,periodic_retrain
68480,73480,5000,7,0.7156845689521746,periodic_retrain
73480,78480,5000,13,0.9786324786324785,periodic_retrain
78480,83480,5000,12,0.9298245614035089,periodic_retrain
83480,88480,5000,5,1.0,periodic_retrain
88480,93480,5000,6,0.834975369458128,periodic_retrain
93480,98480,5000,8,0.7194598446787854,periodic_retrain
98480,103480,5000,10,0.7017297368806094,periodic_retrain
103480,108480,5000,6,0.8336225178330441,periodic_retrain
108480,113480,5000,3,0.6671451355661882,periodic_retrain
113480,118480,5000,4,0.751008064516129,periodic_retrain
118480,123480,5000,10,0.8173670098670098,periodic_retrain
123480,128480,5000,6,0.8489583333333334,periodic_retrain
128480,133480,5000,1,0.0009737098344693282,periodic_retrain
133480,138480,5000,2,1.0,periodic_retrain
138480,143480,5000,12,0.9169522993430448,periodic_retrain
143480,148480,5000,9,0.6179010879197542,periodic_retrain
148480,153480,5000,45,0.8839132722090278,periodic_retrain
153480,158480,5000,26,0.7731859287022519,periodic_retrain
158480,163480,5000,1,1.0,periodic_retrain
163480,168480,5000,3,0.4777777777777778,periodic_retrain
168480,173480,5000,1,1.0,periodic_retrain
173480,178480,5000,3,0.6684210526315789,periodic_retrain
178480,183480,5000,3,0.6936936936936937,periodic_retrain
183480,188480,5000,1,0.5,periodic_retrain
188480,193480,5000,13,0.5312639967245231,periodic_retrain
193480,198480,5000,2,0.007050995580714037,periodic_retrain
198480,203480,5000,6,1.0,periodic_retrain
203480,208480,5000,4,0.688362812769629,periodic_retrain
208480,213480,5000,5,0.8136986301369864,periodic_retrain
213480,218480,5000,6,0.7343871975019516,periodic_retrain
218480,223480,5000,8,0.6644191368558546,periodic_retrain
223480,228480,5000,5,1.0,periodic_retrain
228480,233480,5000,6,0.4578500203500203,periodic_retrain
