window_start,window_end,n,n_pos,pr_auc,method
4656,9656,5000,152,0.5216453777923927,static_xgb
9656,14656,5000,792,0.6570578397361169,static_xgb
14656,19656,5000,885,0.5024866445457677,static_xgb
19656,24656,5000,542,0.2614618601523125,static_xgb
24656,29656,5000,1024,0.2928499804443715,static_xgb
29656,34656,5000,413,0.15845582660395255,static_xgb
34656,39656,5000,520,0.2298639989661923,static_xgb
39656,44656,5000,55,0.011525648727880776,static_xgb
44656,46564,1908,115,0.054572160253274146,static_xgb
4656,9656,5000,152,0.5216453777923927,periodic_retrain
9656,14656,5000,792,0.6570578397361169,periodic_retrain
14656,19656,5000,885,0.9803954927585778,periodic_retrain
19656,24656,5000,542,0.8008489563223338,periodic_retrain
24656,29656,5000,1024,0.9730870559631656,periodic_retrain
29656,34656,5000,413,0.9359652039646474,periodic_retrain
34656,39656,5000,520,0.9025575952542538,periodic_retrain
39656,44656,5000,55,0.03753593511524313,periodic_retrain
44656,46564,1908,115,0.28982602391941537,periodic_retrain
4656,9656,5000,152,0.5006426582900905,sliding_window_retrain
9656,14656,5000,792,0.6202212633342542,sliding_window_retrain
14656,19656,5000,885,0.9649949836518565,sliding_window_retrain
19656,24656,5000,542,0.7429578866489469,sliding_window_retrain
24656,29656,5000,1024,0.9916903979024445,sliding_window_retrain
29656,34656,5000,413,0.9520785443640055,sliding_window_retrain
34656,39656,5000,520,0.8932503209034333,sliding_window_retrain
39656,44656,5000,55,0.03313166457380264,sliding_window_retrain
44656,46564,1908,115,0.29636046811205624,sliding_window_retrain
4656,9656,5000,152,0.7553894351980555,adwin_online
9656,14656,5000,792,0.9727909652769297,adwin_online
14656,19656,5000,885,0.9576963430072787,adwin_online
19656,24656,5000,542,0.8940862406577004,adwin_online
24656,29656,5000,1024,0.9587763345162241,adwin_online
29656,34656,5000,413,0.9239933600495812,adwin_online
34656,39656,5000,520,0.8549417468673283,adwin_online
39656,44656,5000,55,0.09062972021604561,adwin_online
44656,46564,1908,115,0.5631934799885568,adwin_online
4656,9656,5000,152,0.5073260244414698,single_expert
9656,14656,5000,792,0.6609037522496849,single_expert
14656,19656,5000,885,0.6195822134206237,single_expert
19656,24656,5000,542,0.3340564699644087,single_expert
24656,29656,5000,1024,0.3777371585495874,single_expert
29656,34656,5000,413,0.2212421698762535,single_expert
34656,39656,5000,520,0.3269527147969818,single_expert
39656,44656,5000,55,0.009858351848462947,single_expert
44656,46564,1908,115,0.056173022838723316,single_expert
4656,9656,5000,152,0.5073260244414698,mixture
9656,14656,5000,792,0.6609037522496849,mixture
14656,19656,5000,885,0.6195822134206237,mixture
19656,24656,5000,542,0.3340564699644087,mixture
24656,29656,5000,1024,0.3777371585495874,mixture
29656,34656,5000,413,0.2212421698762535,mixture
34656,39656,5000,520,0.3269527147969818,mixture
39656,44656,5000,55,0.18159708485260648,mixture
44656,46564,1908,115,0.32138848076765736,mixture
